observer,orientation,reported,rt
2,48,46,1.83635952564055
2,117,120,2.2955198462962
2,166,158,1.23595809968924
2,137,131,2.15420628031961
2,109,108,1.11825800791598
2,139,138,1.63629807400753
2,135,131,1.58911870707743
2,35,39,1.63625049253051
2,108,124,1.95417592769104
2,70,62,1.4478679610902
2,139,144,1.41254011382853
2,10,9,1.17706093881065
2,67,71,1.9541062659207
2,105,105,2.4602792628416
2,153,155,1.51859393936365
2,117,124,1.81280513954584
2,118,119,1.65978217635188
2,103,112,1.62451963700005
2,150,169,1.73042232137277
2,142,122,0.847464047218182
2,94,94,1.6833259887851
2,33,32,1.64804230211007
2,160,161,1.53026197490476
2,45,37,1.40078375711437
2,66,38,4.57934739982784
2,45,44,2.00119917761776
2,150,135,2.06007363622302
2,48,49,0.929941406365515
2,39,33,1.1654236912841
2,27,25,1.57761985012144
2,130,130,1.65976227298893
2,34,31,1.60097240367622
2,53,51,1.57739935817858
2,59,53,1.04783679988759
2,121,127,1.54226401375581
2,104,105,3.82586392257349
2,171,168,2.09536447566916
2,87,93,2.35435356520543
2,31,29,1.77745707793133
2,28,24,1.78933316581333
2,4,12,1.38907840276761
2,54,44,2.22490426948912
2,23,10,1.57741863956176
2,37,38,1.1182126033691
2,107,112,1.01229374751415
2,113,102,1.56561812226073
2,172,151,1.33013708130238
2,102,102,1.0711256004829
2,72,67,1.64796673152887
2,117,133,2.06004968998946
2,102,109,2.27198380861432
2,22,16,1.1064951204105
2,61,65,1.9423915818727
2,55,38,1.29484561987624
2,170,170,2.46034332679119
2,49,43,0.835656999126513
2,16,15,2.09537629329088
2,72,60,1.64801089211528
2,46,53,2.02476320440405
2,46,52,2.16602483504312
2,173,169,3.26084259021127
2,26,24,1.67159575523465
2,76,79,2.34264012511744
2,12,10,2.03648224231279
2,9,10,1.35368555858645
2,8,6,1.38906782910612
2,127,135,2.16599311405844
2,10,14,2.28376162364179
2,30,25,2.09540988021581
2,131,130,1.36555045082673
2,32,111,3.36679254507112
2,7,22,0.800423692838876
2,137,144,1.74223496728541
2,130,128,1.9776286200406
2,76,74,1.70686544735759
2,69,63,1.56561532335036
2,153,141,1.40084097928275
2,155,141,1.57736172838327
2,29,30,1.64800311736417
2,135,123,1.01230805305613
2,178,175,1.4007853120645
2,166,164,2.62511238402794
2,138,155,1.62450688640797
2,13,21,1.61271507682864
2,61,46,1.10641830586928
2,20,16,2.28375478186081
2,69,61,2.90771152687716
2,43,41,1.45966505750039
2,24,22,2.24840050044509
2,19,18,2.50742255492628
2,43,51,0.965208299577853
2,118,111,2.24843533133026
2,166,151,2.54279705069462
2,13,5,2.03647882142241
2,60,50,2.08360407608438
2,131,136,1.09476426488004
2,120,116,0.965236288682036
2,122,121,1.85992635133744
2,60,56,1.6598008357546
2,56,45,1.51854791283699
2,177,178,1.37723372488017
2,41,170,1.10650351714207
2,129,132,2.22485171217136
2,168,158,1.76570476408756
2,158,154,2.2013430416132
2,82,85,1.93048843785664
2,101,89,1.00052184129754
2,10,9,1.11830465642288
2,141,128,1.11828972890066
2,109,105,1.94233156079372
2,156,150,0.835708934464265
2,153,148,1.82458419853356
2,118,133,1.95410813186095
2,129,118,2.02476258242405
2,32,36,1.13001125472988
2,99,93,2.26013073399577
2,6,7,1.01232266958823
2,139,136,2.66051486890046
2,20,18,1.11836343354162
2,122,129,1.49501498505538
2,83,82,1.58917126439519
2,147,150,3.19017663301656
2,24,29,1.25958494646466
2,113,125,1.63631859935049
2,127,124,1.28310481266431
2,111,119,2.64867983170461
2,8,6,1.84814978026998
2,109,115,2.04836081811527
2,53,42,2.42500894873865
2,168,163,1.58912554885842
2,138,139,1.35368929046672
2,106,88,1.07117349295004
2,35,34,1.40079215384549
2,77,62,2.80173482687337
2,109,120,1.57737447897512
2,7,13,1.30659979966026
2,103,122,2.82524069852093
2,5,7,3.10779536979339
2,56,45,2.3426024953219
2,73,66,1.44780918397146
2,179,177,1.44789066336352
2,83,79,1.34192080514072
2,31,42,2.11887967701819
2,51,50,0.882827658335145
2,148,139,1.33024530583862
2,175,159,1.4596218298841
2,13,10,1.88349348802399
2,147,131,2.76642284010427
2,129,121,0.871011280542007
2,50,44,1.9659285525247
2,158,149,1.95410968681131
2,40,34,1.49497735525983
2,132,123,2.16596667990461
2,44,40,1.57735861848255
2,97,105,1.01254596044146
2,171,156,2.15429553446279
2,166,159,2.495565748427
2,140,128,1.89521128197248
2,169,159,1.77756623543746
2,126,128,1.37726015903422
2,2,176,1.14181923579167
2,160,147,1.03592463715995
2,10,25,2.3544030126227
2,115,116,1.15359300794876
2,117,114,1.48323063923704
2,11,7,2.84888060687831
2,158,150,2.60156266278386
2,167,163,1.23599759542503
2,33,39,0.953507299091598
2,14,16,2.6251431720425
2,75,76,3.39037834116061
2,75,76,2.29550367481397
2,101,105,2.33087599365217
2,172,165,1.88349411000399
2,114,110,1.93052606765195
2,28,23,3.0136966236123
2,119,118,2.02470784817615
2,145,139,2.46033959491024
2,31,22,1.96589341064964
2,71,69,1.6009257551691
2,72,63,1.96587412926647
2,84,79,1.765711605869
2,120,112,1.82457766774223
2,0,175,2.17773050037977
2,3,179,2.3896531123728
2,42,24,1.89523553919616
2,31,18,5.17969502450114
2,126,134,2.40149219243949
2,130,133,2.82521457535722
2,145,141,2.21309131258658
2,139,130,2.66047661712491
2,179,177,2.60166031365816
2,102,99,3.51982825885671
2,156,148,2.91944611428789
2,7,6,1.50677942751099
2,101,96,2.16601550534187
2,88,80,1.22418588248229
2,130,127,3.41387519409682
2,171,163,1.80107988183636
2,28,177,2.06012681552102
2,80,80,2.44857764037579
2,132,131,3.29615955282134
2,15,11,2.71929976237243
2,121,122,1.49498823991144
2,0,0,0.929870500634934
2,33,23,2.11892166067446
2,163,154,2.29552171223668
2,16,20,1.94232751792288
2,128,29,2.50745054403023
2,13,13,2.50740327354333
2,146,149,2.07183185887789
2,172,160,2.02473055044948
2,161,157,2.01301959828197
2,13,13,1.96587008639608
2,154,143,2.41326534261589
2,71,59,3.56691495075302
2,1,179,2.41326534261634
2,63,58,3.74349136707178
2,1,3,3.22550696819826
2,74,73,1.21240589052468
2,65,61,4.19088506834169
2,24,26,2.96651881163234
2,49,50,2.46028330571198
2,18,25,1.13000534591856
2,17,15,1.57733249531884
2,89,88,1.38901775970862
2,5,3,1.25952896825675
2,24,26,1.98943784506309
2,135,124,2.14251492052517
2,65,43,1.65974641249659
2,70,61,1.55383128852191
2,36,47,1.34195003820514
2,43,38,1.60097675753696
2,70,65,1.9895031529727
2,51,46,1.21246746655379
2,150,137,1.23595405681817
2,78,80,1.02406347680062
2,21,12,1.14179124668772
2,172,162,0.929918704091961
2,58,54,1.43608952408249
2,157,158,1.76576385219641
2,127,127,2.11893005740558
2,114,119,1.3890059420869
2,59,57,2.42498997834582
2,105,108,3.34349006091361
2,122,124,1.98941047793869
2,28,21,1.73048794027272
2,62,54,1.95414389571624
2,151,140,1.96584738412275
2,138,136,1.75397142063639
2,55,47,1.6126535007993
2,16,14,1.38902708940986
2,24,29,0.588469048871502
2,162,167,1.43608392626174
2,148,138,1.25955944528096
2,81,75,1.44791740850769
2,37,28,1.43620148049922
2,137,137,2.09536323170914
2,168,158,0.97701970153048
